date,year,title,artist,peak_pos,last_week,weeks,rank,change,spotifyLink,spotifyID,videoLink,genre,analysis_url,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
2019-01-19,,KIKA,6ix9ine Featuring Tory Lanez,6,94,14,96,,spotify:track:6VRwEqn7BvsN0dChfDrMAf,6VRwEqn7BvsN0dChfDrMAf,,"[u'emo rap', u'trap']",https://api.spotify.com/v1/audio-analysis/6VRwEqn7BvsN0dChfDrMAf,0.715,0.182,94.513,0.245,0.128,0,4,0.745,1,136032,-3.368,0.342,0
2019-01-19,,Dip,Tyga & Nicki Minaj,NA,,NA,99,,spotify:track:4hXDobvUaXyDFLnmecoY0z,4hXDobvUaXyDFLnmecoY0z,,"[u'pop rap', u'rap', u'trap']",https://api.spotify.com/v1/audio-analysis/4hXDobvUaXyDFLnmecoY0z,0.543,0.154,99.026,0.2,0.0311,0,4,0.885,2,195992,-6.338,0.43,1
2019-01-19,,Lucky You,Eminem Featuring Joyner Lucas,NA,,NA,100,,spotify:track:60SdxE8apGAxMiRrpbmLY0,60SdxE8apGAxMiRrpbmLY0,,"[u'detroit hip hop', u'g funk', u'hip hop', u'rap']",https://api.spotify.com/v1/audio-analysis/60SdxE8apGAxMiRrpbmLY0,0.786,0.127,153.068,0.306,0.0627,0,4,0.876,10,244679,-4.884,0.575,0
2019-01-26,,She Got The Best Of Me ,Luke Combs,40,49,6,38,,spotify:track:698eQRku24PIYPQPHItKlA,698eQRku24PIYPQPHItKlA,,[u'contemporary country'],https://api.spotify.com/v1/audio-analysis/698eQRku24PIYPQPHItKlA,0.907,0.386,150.99,0.0406,0.0292,0,4,0.533,11,183160,-3.793,0.7,1
2019-01-26,,Fine China,Future & Juice WRLD,81,81,2,83,,spotify:track:5274I4mUMnYczyeXkGDWZN,5274I4mUMnYczyeXkGDWZN,,"[u'atl hip hop', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",https://api.spotify.com/v1/audio-analysis/5274I4mUMnYczyeXkGDWZN,0.542,0.126,166.111,0.323,0.0484,0,4,0.656,7,141587,-7.358,0.551,1
2019-01-26,,Nuketown,Ski Mask The Slump God Featuring Juice WRLD,87,87,2,84,,spotify:track:74lnM5V6ecvoTPV0fvptx9,74lnM5V6ecvoTPV0fvptx9,,"[u'miami hip hop', u'rap', u'trap', u'underground hip hop']",https://api.spotify.com/v1/audio-analysis/74lnM5V6ecvoTPV0fvptx9,0.617,0.734,149.962,0.442,0.113,0,4,0.808,10,166400,-9.32,0.632,0
2019-01-26,,Space Cadet,Metro Boomin Featuring Gunna,60,94,6,88,,spotify:track:1fewSx2d5KIZ04wsooEBOz,1fewSx2d5KIZ04wsooEBOz,,"[u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",https://api.spotify.com/v1/audio-analysis/1fewSx2d5KIZ04wsooEBOz,0.464,0.238,109.004,0.0645,0.368,1.71e-05,4,0.901,5,203267,-9.789,0.638,0
2019-01-26,,Butterfly Doors,Lil Pump,88,88,3,89,,spotify:track:4NdXQlDTzxbOMkzJGWFtz3,4NdXQlDTzxbOMkzJGWFtz3,,"[u'emo rap', u'miami hip hop', u'rap', u'trap']",https://api.spotify.com/v1/audio-analysis/4NdXQlDTzxbOMkzJGWFtz3,0.397,0.144,130.008,0.169,0.0889,5.12e-05,4,0.925,5,132923,-11.265,0.429,1
2019-01-26,,Valuable Pain,YoungBoy Never Broke Again,96,98,3,90,,spotify:track:61Oo3DUJubecZQosjho6Pp,61Oo3DUJubecZQosjho6Pp,,"[u'baton rouge rap', u'trap']",https://api.spotify.com/v1/audio-analysis/61Oo3DUJubecZQosjho6Pp,0.811,0.213,169.685,0.345,0.23,0,4,0.525,5,169459,-5.702,0.513,0
2019-01-26,,Can't Leave Without It,21 Savage,92,92,3,93,,spotify:track:0hPLZrnDgtKxrym1BHjDhd,0hPLZrnDgtKxrym1BHjDhd,,"[u'atl hip hop', u'pop rap', u'rap', u'trap']",https://api.spotify.com/v1/audio-analysis/0hPLZrnDgtKxrym1BHjDhd,0.591,0.144,131.982,0.359,0.111,0,4,0.872,6,205352,-6.952,0.696,0
2019-01-26,,Good Form,Nicki Minaj Featuring Lil Wayne,96,-,6,94,,spotify:track:19Fcrc0nJiwMKom00gS9SW,19Fcrc0nJiwMKom00gS9SW,,"[u'dance pop', u'hip pop', u'pop', u'pop rap', u'post-teen pop', u'queens hip hop', u'rap']",https://api.spotify.com/v1/audio-analysis/19Fcrc0nJiwMKom00gS9SW,0.775,0.0943,96.507,0.0952,0.113,0.00264,4,0.88,7,199400,-5.133,0.284,1
2019-01-26,,idontwannabeyouanymore,Billie Eilish,98,98,2,96,,spotify:track:41zXlQxzTi6cGAjpOXyLYH,41zXlQxzTi6cGAjpOXyLYH,,"[u'electropop', u'pop']",https://api.spotify.com/v1/audio-analysis/41zXlQxzTi6cGAjpOXyLYH,0.412,0.116,170.163,0.0402,0.737,0,3,0.483,7,203569,-8.461,0.247,1
2019-02-02,,Natural,Imagine Dragons,43,50,8,50,,spotify:track:2FY7b99s15jUprqC0M5NCT,2FY7b99s15jUprqC0M5NCT,,[u'modern rock'],https://api.spotify.com/v1/audio-analysis/2FY7b99s15jUprqC0M5NCT,0.611,0.0812,100.0,0.0409,0.217,0,4,0.704,2,189467,-6.112,0.22,1
2019-02-02,,Jumpin On A Jet,Future,61,66,12,57,,spotify:track:1I3ZAmPmbFV78oNKnibOiW,1I3ZAmPmbFV78oNKnibOiW,,"[u'atl hip hop', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",https://api.spotify.com/v1/audio-analysis/1I3ZAmPmbFV78oNKnibOiW,0.595,0.0876,140.039,0.091,0.0571,3.7e-06,4,0.824,11,137134,-6.346,0.157,1
2019-02-02,,Never Stop,Future,51,60,12,65,,spotify:track:1AGPmw3QJBNfOK6XioDhZp,1AGPmw3QJBNfOK6XioDhZp,,"[u'atl hip hop', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",https://api.spotify.com/v1/audio-analysis/1AGPmw3QJBNfOK6XioDhZp,0.556,0.137,155.465,0.223,0.0662,0.000149,4,0.571,1,291334,-5.857,0.0762,1
2019-02-02,,Consequences,Camila Cabello,64,64,13,72,,spotify:track:7sTtHHrD0zDpmzQzH3zegz,7sTtHHrD0zDpmzQzH3zegz,,"[u'dance pop', u'pop', u'post-teen pop']",https://api.spotify.com/v1/audio-analysis/7sTtHHrD0zDpmzQzH3zegz,0.292,0.106,84.339,0.0563,0.889,0,5,0.455,0,178467,-6.792,0.43,1
2019-02-02,,Temptation,Future,52,74,14,76,,spotify:track:2gXOzCwbVXACCaYRj4Qrep,2gXOzCwbVXACCaYRj4Qrep,,"[u'atl hip hop', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",https://api.spotify.com/v1/audio-analysis/2gXOzCwbVXACCaYRj4Qrep,0.55,0.199,130.004,0.184,0.164,0.000204,4,0.66,4,167673,-6.744,0.299,1
2019-02-02,,Rocket Ship,Future,62,68,10,79,,spotify:track:4HfaOznGhHYWqPtpLYz2PB,4HfaOznGhHYWqPtpLYz2PB,,"[u'atl hip hop', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",https://api.spotify.com/v1/audio-analysis/4HfaOznGhHYWqPtpLYz2PB,0.38,0.127,133.941,0.261,0.00957,0,4,0.953,8,116847,-4.941,0.128,1
2019-02-02,,F&N,Future,87,87,4,83,,spotify:track:5YP6yKgGGsXKukqxXypVAf,5YP6yKgGGsXKukqxXypVAf,,"[u'atl hip hop', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",https://api.spotify.com/v1/audio-analysis/5YP6yKgGGsXKukqxXypVAf,0.628,0.0735,160.94,0.191,0.01,6.53e-05,4,0.728,1,189428,-4.766,0.393,1
2019-02-02,,Electricity,Silk City x Dua Lipa,88,-,4,90,,spotify:track:5N4erncE7kuUccm7zEmwzk,5N4erncE7kuUccm7zEmwzk,,"[u'edm', u'house', u'tropical house']",https://api.spotify.com/v1/audio-analysis/5N4erncE7kuUccm7zEmwzk,0.67,0.338,118.159,0.0473,0.0104,3.33e-06,4,0.588,0,238173,-6.439,0.505,1
2019-02-02,,Face My Fears,Hikaru Utada & Skrillex,91,-,2,98,,spotify:track:0CALOqrkXAE7WB2nyIATLk,0CALOqrkXAE7WB2nyIATLk,,"[u'j-pop', u'japanese singer-songwriter']",https://api.spotify.com/v1/audio-analysis/0CALOqrkXAE7WB2nyIATLk,0.751,0.119,159.965,0.0991,0.0105,0,3,0.628,1,222013,-7.041,0.44,0
2019-02-02,,Call The Coroner,Future,NA,,NA,100,,spotify:track:1WlU4jsJ8AoTB96dgd8LJA,1WlU4jsJ8AoTB96dgd8LJA,,"[u'atl hip hop', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",https://api.spotify.com/v1/audio-analysis/1WlU4jsJ8AoTB96dgd8LJA,0.805,0.204,134.55,0.202,0.146,0.0515,4,0.853,11,131756,-3.331,0.879,0
2019-02-09,,Best Shot,Jimmie Allen,37,60,20,55,,spotify:track:3VamXAvVMczcS2PTYtPfBQ,3VamXAvVMczcS2PTYtPfBQ,,"[u'contemporary country', u'country pop']",https://api.spotify.com/v1/audio-analysis/3VamXAvVMczcS2PTYtPfBQ,0.464,0.0853,156.051,0.0334,0.75,0,4,0.629,4,195053,-8.72,0.523,1
2019-02-09,,Sauce!,XXXTENTACION,92,-,4,89,,spotify:track:3jq1RpStaB1YGyN3rRZGca,3jq1RpStaB1YGyN3rRZGca,,"[u'emo rap', u'miami hip hop']",https://api.spotify.com/v1/audio-analysis/3jq1RpStaB1YGyN3rRZGca,0.313,0.19,135.034,0.0347,0.582,0,4,0.68,3,144724,-13.672,0.405,0
2019-02-09,,BAD!,XXXTENTACION,28,-,15,97,,spotify:track:69dXVFCMiz3SL1L7M24NdX,69dXVFCMiz3SL1L7M24NdX,,"[u'emo rap', u'miami hip hop']",https://api.spotify.com/v1/audio-analysis/69dXVFCMiz3SL1L7M24NdX,0.526,0.0571,129.875,0.0717,0.334,0.00174,4,0.799,8,150475,-5.153,0.746,1
2019-02-09,,Blue Tacoma,Russell Dickerson,NA,,NA,99,,spotify:track:2oPCR02nduYVpj7CTfsA0d,2oPCR02nduYVpj7CTfsA0d,,"[u'contemporary country', u'country', u'country road', u'modern country rock']",https://api.spotify.com/v1/audio-analysis/2oPCR02nduYVpj7CTfsA0d,0.897,0.174,160.139,0.0403,0.0183,0,4,0.455,9,212067,-4.879,0.728,1
2019-02-16,,Alone,Marshmello,28,-,11,28,,spotify:track:3MEYFivt6bilQ9q9mFWZ4g,3MEYFivt6bilQ9q9mFWZ4g,,"[u'brostep', u'progressive electro house']",https://api.spotify.com/v1/audio-analysis/3MEYFivt6bilQ9q9mFWZ4g,0.953,0.108,141.99,0.0343,0.0241,0.0155,4,0.631,2,273803,-3.739,0.422,1
2019-02-16,,Breathin,Ariana Grande,12,25,25,35,,spotify:track:1edP751qQSUaA1vo7Hva3w,1edP751qQSUaA1vo7Hva3w,,"[u'dance pop', u'pop', u'post-teen pop']",https://api.spotify.com/v1/audio-analysis/1edP751qQSUaA1vo7Hva3w,0.86,0.945,99.61,0.188,0.0387,1.47e-06,4,0.323,5,208294,-2.963,0.208,0
2019-02-16,,Trip,Ella Mai,11,35,27,38,,spotify:track:6CTWathupIiDs7U4InHnDA,6CTWathupIiDs7U4InHnDA,,"[u'pop', u'pop rap', u'post-teen pop', u'r&b', u'rap', u'uk contemporary r&b', u'urban contemporary']",https://api.spotify.com/v1/audio-analysis/6CTWathupIiDs7U4InHnDA,0.61,0.107,79.882,0.144,0.225,0,4,0.477,11,213993,-5.628,0.358,0
2019-02-16,,Love Lies,Khalid & Normani,9,37,51,41,,spotify:track:45Egmo7icyopuzJN0oMEdk,45Egmo7icyopuzJN0oMEdk,,"[u'alternative r&b', u'pop']",https://api.spotify.com/v1/audio-analysis/45Egmo7icyopuzJN0oMEdk,0.648,0.134,143.955,0.0449,0.0956,0,4,0.708,6,201707,-5.626,0.338,1
2019-02-16,,Beautiful,Bazzi Featuring Camila Cabello,26,33,27,47,,spotify:track:4VUwkH455At9kENOfzTqmF,4VUwkH455At9kENOfzTqmF,,"[u'pop', u'post-teen pop']",https://api.spotify.com/v1/audio-analysis/4VUwkH455At9kENOfzTqmF,0.717,0.105,100.027,0.0337,0.346,0,4,0.638,2,180000,-4.722,0.249,1
2019-02-16,,First Off,Future Featuring Travis Scott,80,87,6,80,,spotify:track:3WRIaWsws011vHMd9uzPjG,3WRIaWsws011vHMd9uzPjG,,"[u'atl hip hop', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",https://api.spotify.com/v1/audio-analysis/3WRIaWsws011vHMd9uzPjG,0.683,0.28,162.038,0.0776,0.013,0,4,0.734,1,228367,-6.105,0.445,1
2019-02-16,,Roses,benny blanco & Juice WRLD Featuring Brendon Urie,88,96,5,88,,spotify:track:1KVczjazCcCCgM3gXXUl47,1KVczjazCcCCgM3gXXUl47,,"[u'pop', u'pop rap', u'tropical house']",https://api.spotify.com/v1/audio-analysis/1KVczjazCcCCgM3gXXUl47,0.601,0.117,147.018,0.164,0.168,0,4,0.612,8,223543,-7.089,0.525,1
2019-02-16,,Keanu Reeves,Logic,47,66,20,91,,spotify:track:3PYx9Wte3jwb48V0wArMOy,3PYx9Wte3jwb48V0wArMOy,,"[u'conscious hip hop', u'dmv rap', u'hip hop', u'pop rap', u'rap']",https://api.spotify.com/v1/audio-analysis/3PYx9Wte3jwb48V0wArMOy,0.891,0.134,170.13,0.24,0.0557,0,4,0.712,2,225920,-6.457,0.799,1
2019-02-16,,No Stylist,French Montana Featuring Drake,92,95,5,92,,spotify:track:04MLEeAMuV9IlHEsD8vF6A,04MLEeAMuV9IlHEsD8vF6A,,"[u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",https://api.spotify.com/v1/audio-analysis/04MLEeAMuV9IlHEsD8vF6A,0.704,0.227,147.055,0.127,0.0215,0,4,0.765,5,192172,-4.589,0.498,0
2019-02-16,,Crushed Up,Future,28,-,15,97,,spotify:track:7wcyO1rrH3Ru4t659IjG41,7wcyO1rrH3Ru4t659IjG41,,"[u'atl hip hop', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",https://api.spotify.com/v1/audio-analysis/7wcyO1rrH3Ru4t659IjG41,0.597,0.152,158.043,0.23,0.0415,0,4,0.781,10,149949,-6.794,0.544,0
2019-02-23,,Uproar,Lil Wayne,84,87,7,73,,spotify:track:3wScL5W8H40zzCKN0atfBk,3wScL5W8H40zzCKN0atfBk,,"[u'hip hop', u'new orleans rap', u'pop rap', u'rap', u'trap']",https://api.spotify.com/v1/audio-analysis/3wScL5W8H40zzCKN0atfBk,0.87,0.299,99.075,0.212,0.0595,0,4,0.743,1,194184,-2.188,0.884,1
2019-02-23,,Burning Man,Dierks Bentley Featuring Brothers Osborne,83,84,7,76,,spotify:track:4a1oIihVt6xSnDRpgX387M,4a1oIihVt6xSnDRpgX387M,,"[u'contemporary country', u'country', u'country road', u'modern country rock']",https://api.spotify.com/v1/audio-analysis/4a1oIihVt6xSnDRpgX387M,0.807,0.0926,119.073,0.0972,0.00403,5.42e-06,4,0.609,5,238493,-7.221,0.492,1
2019-02-23,,You,Jacquees,28,79,16,77,,spotify:track:01jIO8SJFnpSiNLH1JaBZ5,01jIO8SJFnpSiNLH1JaBZ5,,"[u'atl hip hop', u'deep pop r&b', u'pop', u'pop rap', u'r&b', u'rap', u'trap', u'urban contemporary']",https://api.spotify.com/v1/audio-analysis/01jIO8SJFnpSiNLH1JaBZ5,0.453,0.104,115.002,0.0602,0.413,0,4,0.735,8,217387,-8.264,0.335,0
2019-02-23,,Ruin My Life,Zara Larsson,90,90,4,86,,spotify:track:5tAa8Uaqr4VvA3693mbIhU,5tAa8Uaqr4VvA3693mbIhU,,"[u'dance pop', u'edm', u'pop', u'post-teen pop', u'scandipop', u'swedish electropop', u'swedish pop', u'tropical house']",https://api.spotify.com/v1/audio-analysis/5tAa8Uaqr4VvA3693mbIhU,0.699,0.0969,124.896,0.0578,0.423,0,4,0.665,11,190932,-5.265,0.585,1
2019-02-23,,Talk To Me,Tory Lanez & Rich The Kid,77,77,2,96,,spotify:track:51w9Jbat1pLeWINGCpnQUR,51w9Jbat1pLeWINGCpnQUR,,"[u'canadian hip hop', u'hip hop', u'melodic rap', u'pop rap', u'rap', u'southern hip hop', u'toronto rap', u'trap']",https://api.spotify.com/v1/audio-analysis/51w9Jbat1pLeWINGCpnQUR,0.66,0.0622,159.949,0.052,0.0226,0,4,0.698,0,248521,-7.883,0.451,1
2019-02-23,,Rainbow,Kacey Musgraves,NA,,NA,98,,spotify:track:79qxwHypONUt3AFq0WPpT9,79qxwHypONUt3AFq0WPpT9,,"[u'contemporary country', u'country dawn', u'pop', u'texas country']",https://api.spotify.com/v1/audio-analysis/79qxwHypONUt3AFq0WPpT9,0.197,0.107,130.367,0.0329,0.88,0,4,0.581,3,214293,-7.697,0.349,1
2019-03-02,,Fake Smile,Ariana Grande,60,93,5,57,,spotify:track:5BYts42mYfuullBbELoaEV,5BYts42mYfuullBbELoaEV,,"[u'dance pop', u'pop', u'post-teen pop']",https://api.spotify.com/v1/audio-analysis/5BYts42mYfuullBbELoaEV,0.747,0.37,83.444,0.222,0.11,5.65e-06,4,0.393,9,205586,-4.499,0.221,1
2019-03-02,,Lost In The Fire,Gesaffelstein & The Weeknd,50,57,19,61,,spotify:track:2vXKRlJBXyOcvZYTdNeckS,2vXKRlJBXyOcvZYTdNeckS,,[u'destroy techno'],https://api.spotify.com/v1/audio-analysis/2vXKRlJBXyOcvZYTdNeckS,0.671,0.115,100.966,0.0363,0.0933,0.000927,4,0.658,2,202093,-12.21,0.166,1
2019-03-02,,Ghostin,Ariana Grande,35,63,7,62,,spotify:track:2vdBo4ALPYbHRUPKgtE5iC,2vdBo4ALPYbHRUPKgtE5iC,,"[u'dance pop', u'pop', u'post-teen pop']",https://api.spotify.com/v1/audio-analysis/2vdBo4ALPYbHRUPKgtE5iC,0.364,0.185,103.777,0.0306,0.418,1.8e-05,4,0.287,9,271467,-8.295,0.11,1
2019-03-02,,Sixteen,Thomas Rhett,69,89,6,69,,spotify:track:3pJkBPHadRAxBBo484RipI,3pJkBPHadRAxBBo484RipI,,"[u'contemporary country', u'country', u'country road', u'modern country rock']",https://api.spotify.com/v1/audio-analysis/3pJkBPHadRAxBBo484RipI,0.531,0.165,107.013,0.0281,0.0135,2.11e-06,4,0.705,1,178333,-7.031,0.425,1
2019-03-02,,In My Head,Ariana Grande,74,79,8,74,,spotify:track:58T204WTLWAs34lOvheS28,58T204WTLWAs34lOvheS28,,"[u'dance pop', u'pop', u'post-teen pop']",https://api.spotify.com/v1/audio-analysis/58T204WTLWAs34lOvheS28,0.781,0.352,136.869,0.0581,0.0365,0.0734,4,0.679,0,150000,-6.973,0.343,1
2019-03-02,,Body,Loud Luxury Featuring Brando,25,90,18,82,,spotify:track:21RzyxY3EFaxVy6K4RqaU9,21RzyxY3EFaxVy6K4RqaU9,,"[u'dance pop', u'edm', u'house', u'pop', u'tropical house']",https://api.spotify.com/v1/audio-analysis/21RzyxY3EFaxVy6K4RqaU9,0.764,0.0543,121.958,0.038,0.0476,9.44e-05,4,0.752,1,163216,-4.399,0.582,1
2019-03-02,,365,Zedd & Katy Perry,79,94,5,86,,spotify:track:2XWjPtKdi5sucFYtVav07d,2XWjPtKdi5sucFYtVav07d,,"[u'complextro', u'dance pop', u'edm', u'electro house', u'german techno', u'pop', u'post-teen pop', u'tropical house']",https://api.spotify.com/v1/audio-analysis/2XWjPtKdi5sucFYtVav07d,0.693,0.123,98.039,0.034,0.339,0,4,0.745,2,181900,-5.479,0.248,0
2019-03-02,,Yosemite,Travis Scott,44,83,15,89,,spotify:track:7lAK3oHbfEnvUQWosrMMpR,7lAK3oHbfEnvUQWosrMMpR,,[u'rap'],https://api.spotify.com/v1/audio-analysis/7lAK3oHbfEnvUQWosrMMpR,0.554,0.116,128.047,0.0409,0.283,3.4e-06,4,0.785,0,150043,-6.571,0.144,1
2019-03-02,,Make Up,Ariana Grande,64,93,20,95,,spotify:track:1TCEZgYrPjc2G5sBYJciuq,1TCEZgYrPjc2G5sBYJciuq,,"[u'dance pop', u'pop', u'post-teen pop']",https://api.spotify.com/v1/audio-analysis/1TCEZgYrPjc2G5sBYJciuq,0.768,0.0912,105.014,0.313,0.134,1.96e-06,3,0.675,7,138359,-4.516,0.489,1
2019-03-02,,Good Girl,Dustin Lynch,83,-,9,97,,spotify:track:5HnXcJJbNXQQ7tRlQ9VN1v,5HnXcJJbNXQQ7tRlQ9VN1v,,"[u'contemporary country', u'country', u'country road', u'modern country rock']",https://api.spotify.com/v1/audio-analysis/5HnXcJJbNXQQ7tRlQ9VN1v,0.696,0.17,80.512,0.0871,0.16,0,4,0.711,7,189533,-5.05,0.694,1
2019-03-02,,Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,NA,,NA,98,,spotify:track:2LskIZrCeLxRvCiGP8gxlh,2LskIZrCeLxRvCiGP8gxlh,,"[u'emo rap', u'miami hip hop']",https://api.spotify.com/v1/audio-analysis/2LskIZrCeLxRvCiGP8gxlh,0.723,0.126,104.969,0.0412,0.0302,2.06e-06,4,0.703,9,198903,-5.45,0.288,0
2019-03-02,,Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,NA,,NA,99,,spotify:track:0jAfdqv18goRTUxm3ilRjb,0jAfdqv18goRTUxm3ilRjb,,"[u'melodic rap', u'pop rap', u'rap', u'trap']",https://api.spotify.com/v1/audio-analysis/0jAfdqv18goRTUxm3ilRjb,0.622,0.151,191.971,0.133,0.0235,0,4,0.736,6,192779,-4.653,0.506,0
2019-03-09,,Backin' It Up,Pardison Fontaine Featuring Cardi B,40,47,20,48,,spotify:track:0PpfPNtQOOvbMNVJijTQj0,0PpfPNtQOOvbMNVJijTQj0,,"[u'nyc rap', u'rap']",https://api.spotify.com/v1/audio-analysis/0PpfPNtQOOvbMNVJijTQj0,0.68,0.268,164.932,0.353,0.0886,0,4,0.796,10,190466,-4.853,0.565,0
2019-03-09,,Legacy,Offset Featuring Travis Scott & 21 Savage,49,49,2,49,,spotify:track:7pMRoGLEJuFM2wl5pt0R99,7pMRoGLEJuFM2wl5pt0R99,,"[u'atl hip hop', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",https://api.spotify.com/v1/audio-analysis/7pMRoGLEJuFM2wl5pt0R99,0.513,0.0845,128.085,0.335,0.178,0,4,0.844,1,244941,-8.769,0.344,1
2019-03-09,,I'll Never Love Again,Lady Gaga,56,85,3,62,,spotify:track:4A7EkKijzA4ryEoCRWJzdG,4A7EkKijzA4ryEoCRWJzdG,,"[u'dance pop', u'pop']",https://api.spotify.com/v1/audio-analysis/4A7EkKijzA4ryEoCRWJzdG,0.34,0.135,110.502,0.031,0.763,2.49e-06,4,0.451,7,281067,-7.466,0.221,1
2019-03-09,,How Did I Get Here,Offset Featuring  J. Cole,69,83,8,65,,spotify:track:32iPykTXUNZ9oGyACGUybq,32iPykTXUNZ9oGyACGUybq,,"[u'atl hip hop', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",https://api.spotify.com/v1/audio-analysis/32iPykTXUNZ9oGyACGUybq,0.544,0.08,129.993,0.233,0.507,1.6e-06,4,0.883,2,276794,-7.92,0.114,1
